"op_zkr";"prv_opatreni_orig";"prv_opatreni_id";"prv_opatreni_typ";"prv_opatreni_nazev";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv"
"PRV";"1.1.1-Vzdělávací akce";"1";"Projektová opatření";"1";"1,0";"5329114,000000";"5223552,000000";"10552666,00000"
"PRV";"1.2.1-Informační akce";"1";"Projektová opatření";"1";"1,0";"8956977,000000";"8779573,000000";"17736550,00000"
"PRV";"16.1.1-PE 16.1.1";NA;"Projektová opatření";NA;"0,0";"2557345,000000";"2506691,000000";"5064036,00000"
"PRV";"16.2.1-Podpora vývoje nových produktů, postupů a technologií";NA;"Projektová opatření";NA;"0,0";"60499226,000000";"59301207,000000";"119800433,00000"
"PRV";"16.2.2-Podpora vývoje nových produktů, postupů a technologií";NA;"Projektová opatření";NA;"0,0";"719887891,000000";"705632661,000000";"1425520552,00000"
"PRV";"16.3.1-PE 16.3.1";NA;"Projektová opatření";NA;"0,0";"11839573,000000";"11605116,000000";"23444689,00000"
"PRV";"19.2.1-Podpora provádění operací v rámci komunitně vedeného";NA;"Projektová opatření";NA;"0,0";"561658711,400000";"998606513,600000";"1560265225,00000"
"PRV";"19.3.1-PE 19.3.1";NA;"Projektová opatření";NA;"0,0";"1230135,000000";"2186896,000000";"3417031,00000"
"PRV";"20.1-Podpora technické pomoci (mimo CSV)";NA;"Projektová opatření";NA;"0,0";"104793604,000000";"102718316,000000";"207511920,00000"
"PRV";"20.2-Podpora pro zřízení a činnost CSV";NA;"Projektová opatření";NA;"0,0";"16707226,000000";"16376326,000000";"33083552,00000"
"PRV";"4.1.1-Investice do zemědělských podniků";NA;"Projektová opatření";NA;"0,0";"4116428830,280000";"4034912512,720000";"8151341343,00000"
"PRV";"4.2.1-Zpracování a uvádění na trh zemědělských produktů";NA;"Projektová opatření";NA;"0,0";"944808700,000000";"926098960,000000";"1870907660,00000"
"PRV";"4.3.1-Pozemkové úpravy";NA;"Projektová opatření";NA;"0,0";"1391825002,000000";"1364263827,000000";"2756088829,00000"
"PRV";"4.3.2-Lesnická infrastruktura";NA;"Projektová opatření";NA;"0,0";"339090695,000000";"332375802,000000";"671466497,00000"
"PRV";"6.1.1-Zahájení činnosti mladých zemědělců";"6";"Projektová opatření";"6";"0,4";"467476583,510000";"458218221,520000";"925694805,03000"
"PRV";"6.4.1-Investice do nezemědělských činností";"6";"Projektová opatření";"6";"0,4";"238047738,000000";"233333660,000000";"471381398,00000"
"PRV";"6.4.2-Podpora agroturistiky";"6";"Projektová opatření";"6";"0,4";"93890621,000000";"92031330,000000";"185921951,00000"
"PRV";"6.4.3-Investice na podporu energie z obnovitelných zdrojů";"6";"Projektová opatření";"6";"0,4";"11083095,000000";"10863614,000000";"21946709,00000"
"PRV";"8.3.1-Zavádění preventivních opatření v lesích";"8";"Projektová opatření";"8";"0,4";"26339101,000000";"25817516,000000";"52156617,00000"
"PRV";"8.4.1-Obnova lesních porostů po kalamitách";"8";"Projektová opatření";"8";"0,4";"64820195,000000";"63536537,000000";"128356732,00000"
"PRV";"8.4.2-Odstraňování škod způsobených povodněmi";"8";"Projektová opatření";"8";"0,4";"14391277,000000";"14106292,000000";"28497569,00000"
"PRV";"8.5.1-Investice do ochrany melioračních a zpevňujících dřevi";"8";"Projektová opatření";"8";"0,4";"16163771,000000";"15843561,000000";"32007332,00000"
"PRV";"8.5.2-Neproduktivní investice v lesích";"8";"Projektová opatření";"8";"0,4";"58919954,000000";"57753103,000000";"116673057,00000"
"PRV";"8.5.3-Přeměna porostů náhradních dřevin";"8";"Projektová opatření";"8";"0,4";"55274175,000000";"54179621,000000";"109453796,00000"
"PRV";"8.6.1-Technika a technologie pro lesní hospodářství";"8";"Projektová opatření";"8";"0,4";"241002775,000000";"236229945,000000";"477232720,00000"
"PRV";"8.6.2-Technické vybavení dřevozpracujících provozoven";"8";"Projektová opatření";"8";"0,4";"56293275,000000";"55178496,000000";"111471771,00000"
"PRV";"AEKO-Agroenvironmentálně-klimatické opatření (AEKO)";"AEKO";"Plošná opatření";"AEKO-Agroenvironmentálně-klimatické opatření (AEKO)";"1,0";"3223414193,569979";"9672808263,870176";"12896222457,43991"
"PRV";"AEO-Agroenvironmentální opatření 2007-13 (AEO)";NA;"Plošná opatření";NA;"0,0";"35840924,570000";"107555281,890000";"143396206,46000"
"PRV";"ANC-ANC";NA;"Plošná opatření";NA;"0,0";"2169513102,979989";"6510540691,670097";"8680053794,64993"
"PRV";"EKOZ-Ekologické zemědělství (EZ)";"EKOZ";"Plošná opatření";"EKOZ-Ekologické zemědělství (EZ)";"1,0";"1366489361,910001";"4100404216,540011";"5466893578,45002"
"PRV";"ELESP-Péče a náhrada";"ELESP";"Plošná opatření";"ELESP-Péče a náhrada";"0,4";"26912239,580000";"80738535,960001";"107650775,54000"
"PRV";"GEN-GEN";NA;"Plošná opatření";NA;"0,0";"3390334,910000";"10170985,280000";"13561320,19000"
"PRV";"I.1.1.1-Modernizace zemědělských podniků";NA;"Plošná opatření";NA;"0,0";"-8718,750000";"-26156,250000";"-34875,00000"
"PRV";"I.1.1.1.a-Modernizace zemědělských podniků";NA;"Plošná opatření";NA;"0,0";"-43986,030000";"-131958,100000";"-175944,13000"
"PRV";"I.3.1.b-Další odborné vzdělávání a informační činnost";NA;"Plošná opatření";NA;"0,0";"65904,000000";"64598,000000";"130502,00000"
"PRV";"III.1.3.b-Ubytování, sport";NA;"Plošná opatření";NA;"0,0";"3214109,000000";"3150463,000000";"6364572,00000"
"PRV";"LEOD-Lesnicko-environmentální opatření (LEO)";"LEOD";"Plošná opatření";"LEOD";"1,0";"8493640,480000";"25480620,420000";"33974260,90000"
"PRV";"LESND-Natura 2000 v lesích";"Natura";"Plošná opatření";"Natura";"1,0";"4527891,500000";"13583613,920000";"18111505,42000"
"PRV";"LFA-Méně příznivé oblasti (LFA)";"LFA";"Plošná opatření";"LFA-Méně příznivé oblasti (LFA)";"1,0";"1187571143,559998";"3563563261,259962";"4751134404,82000"
"PRV";"NAT-Natura 2000 na zemědělské půdě";"Natura";"Plošná opatření";"Natura";"1,0";"12578009,570000";"37738356,820000";"50316366,39000"
"PRV";"POR-Zachování porostního typu";NA;"Plošná opatření";NA;"0,0";"32653049,930000";"97959317,860000";"130612367,79000"
"PRV";"PPO-PPO";NA;"Plošná opatření";NA;"0,0";"3548937,920000";"10648941,650000";"14197879,57000"
"PRV";"PUZCP-Předčasné ukončení zemědělské činnosti (PUZČ)";NA;"Plošná opatření";NA;"0,0";"181981153,850001";"178367237,599999";"360348391,45000"
"PRV";"WLF-Dobré životní podmínky zvířat (Welfare/DŽPZ)";NA;"Plošná opatření";NA;"0,0";"1591182708,539999";"1560227897,370000";"3151410605,91000"
"PRV";"ZZPLP-Zalesnění zemědělské půdy (ZZP)";"ZZPLP";"Plošná opatření";"ZZPLP-Zalesnění zemědělské půdy (ZZP)";"0,4";"2946181,480000";"8839234,580000";"11785416,06000"
"PRV";"ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z";"ZZPPN";"Plošná opatření";"ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z";"0,4";"1611769,910000";"4835383,360000";"6447153,27000"
