"op_zkr";"prv_opatreni_orig";"prv_opatreni_id";"prv_opatreni_typ";"prv_opatreni_nazev";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv"
"PRV";"6.4.1-Investice do nezemědělských činností";"6";"Projektová opatření";"6";"0,4";"238047738,00";"233333660,00";"471381398,00"
"PRV";"6.4.2-Podpora agroturistiky";"6";"Projektová opatření";"6";"0,4";"93890621,00";"92031330,00";"185921951,00"
"PRV";"6.4.3-Investice na podporu energie z obnovitelných zdrojů";"6";"Projektová opatření";"6";"0,4";"11083095,00";"10863614,00";"21946709,00"
"PRV";"8.3.1-Zavádění preventivních opatření v lesích";"8";"Projektová opatření";"8";"0,4";"26339101,00";"25817516,00";"52156617,00"
"PRV";"8.4.1-Obnova lesních porostů po kalamitách";"8";"Projektová opatření";"8";"0,4";"64820195,00";"63536537,00";"128356732,00"
"PRV";"8.4.2-Odstraňování škod způsobených povodněmi";"8";"Projektová opatření";"8";"0,4";"14391277,00";"14106292,00";"28497569,00"
"PRV";"8.5.1-Investice do ochrany melioračních a zpevňujících dřevi";"8";"Projektová opatření";"8";"0,4";"16163771,00";"15843561,00";"32007332,00"
"PRV";"8.5.2-Neproduktivní investice v lesích";"8";"Projektová opatření";"8";"0,4";"58919954,00";"57753103,00";"116673057,00"
"PRV";"8.5.3-Přeměna porostů náhradních dřevin";"8";"Projektová opatření";"8";"0,4";"55274175,00";"54179621,00";"109453796,00"
"PRV";"8.6.1-Technika a technologie pro lesní hospodářství";"8";"Projektová opatření";"8";"0,4";"241002775,00";"236229945,00";"477232720,00"
"PRV";"8.6.2-Technické vybavení dřevozpracujících provozoven";"8";"Projektová opatření";"8";"0,4";"56293275,00";"55178496,00";"111471771,00"
"PRV";"AEKO-Agroenvironmentálně-klimatické opatření (AEKO)";"AEKO";"Plošná opatření";"AEKO-Agroenvironmentálně-klimatické opatření (AEKO)";"1,0";"3223414193,57";"9672808263,87";"12896222457,44"
"PRV";"AEO-Agroenvironmentální opatření 2007-13 (AEO)";NA;"Plošná opatření";NA;"0,0";"35840924,57";"107555281,89";"143396206,46"
"PRV";"ANC-ANC";NA;"Plošná opatření";NA;"0,0";"2169513102,98";"6510540691,67";"8680053794,65"
"PRV";"EKOZ-Ekologické zemědělství (EZ)";"EKOZ";"Plošná opatření";"EKOZ-Ekologické zemědělství (EZ)";"1,0";"1366489361,91";"4100404216,54";"5466893578,45"
"PRV";"ELESP-Péče a náhrada";"ELESP";"Plošná opatření";"ELESP-Péče a náhrada";"0,4";"26912239,58";"80738535,96";"107650775,54"
"PRV";"GEN-GEN";NA;"Plošná opatření";NA;"0,0";"3390334,91";"10170985,28";"13561320,19"
"PRV";"I.1.1.1-Modernizace zemědělských podniků";NA;"Plošná opatření";NA;"0,0";"-8718,75";"-26156,25";"-34875,00"
"PRV";"I.1.1.1.a-Modernizace zemědělských podniků";NA;"Plošná opatření";NA;"0,0";"-43986,03";"-131958,10";"-175944,13"
"PRV";"I.3.1.b-Další odborné vzdělávání a informační činnost";NA;"Plošná opatření";NA;"0,0";"65904,00";"64598,00";"130502,00"
"PRV";"III.1.3.b-Ubytování, sport";NA;"Plošná opatření";NA;"0,0";"3214109,00";"3150463,00";"6364572,00"
"PRV";"LEOD-Lesnicko-environmentální opatření (LEO)";"LEOD";"Plošná opatření";"LEOD";"1,0";"8493640,48";"25480620,42";"33974260,90"
"PRV";"LESND-Natura 2000 v lesích";"Natura";"Plošná opatření";"Natura";"1,0";"4527891,50";"13583613,92";"18111505,42"
"PRV";"LFA-Méně příznivé oblasti (LFA)";"LFA";"Plošná opatření";"LFA-Méně příznivé oblasti (LFA)";"1,0";"1187571143,56";"3563563261,26";"4751134404,82"
"PRV";"NAT-Natura 2000 na zemědělské půdě";"Natura";"Plošná opatření";"Natura";"1,0";"12578009,57";"37738356,82";"50316366,39"
"PRV";"POR-Zachování porostního typu";NA;"Plošná opatření";NA;"0,0";"32653049,93";"97959317,86";"130612367,79"
"PRV";"PPO-PPO";NA;"Plošná opatření";NA;"0,0";"3548937,92";"10648941,65";"14197879,57"
"PRV";"PUZCP-Předčasné ukončení zemědělské činnosti (PUZČ)";NA;"Plošná opatření";NA;"0,0";"181981153,85";"178367237,60";"360348391,45"
"PRV";"WLF-Dobré životní podmínky zvířat (Welfare/DŽPZ)";NA;"Plošná opatření";NA;"0,0";"1591182708,54";"1560227897,37";"3151410605,91"
"PRV";"ZZPLP-Zalesnění zemědělské půdy (ZZP)";"ZZPLP";"Plošná opatření";"ZZPLP-Zalesnění zemědělské půdy (ZZP)";"0,4";"2946181,48";"8839234,58";"11785416,06"
"PRV";"ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z";"ZZPPN";"Plošná opatření";"ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z";"0,4";"1611769,91";"4835383,36";"6447153,27"
