"oblast_intervence_nazev_en";"oblast_intervence_kod";"climate_share";"sc_id";"sc_nazev";"op_zkr";"op_id";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_czv";"fin_vyuct_eu";"fin_vyuct_narodni_verejne";"fin_vyuct_verejne";"fin_vyuct_soukr";"fin_vyuct_narodni";"n_prj"
NA;" V.0.106";NA;"03.1.52.1";"Zvýšit odbornou úroveň znalostí, dovedností a kompetencí pracovníků a soulad kvalifikační úrovně pracovní síly s požadavky trhu práce";"OP Z";"03";"624999830,00000000";"503621738,01249999";"121378091,987499997";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" V.0.106";NA;"03.1.52.2";"Zvýšit adaptabilitu starších pracovníků";"OP Z";"03";"624999830,00000000";"503621738,01249999";"121378091,987499997";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" VI.0.111";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"1623863,44444444";"1380283,88000000";"243579,564444444";"0,000000000";"23437,2222222222";"19921,6344444444";"3515,58777777778";"23437,2222222222";"0,000000000000000000000000000";"3515,58777777778";"29"
NA;" VI.0.111";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"1623863,44444444";"1380283,88000000";"243579,564444444";"0,000000000";"23437,2222222222";"19921,6344444444";"3515,58777777778";"23437,2222222222";"0,000000000000000000000000000";"3515,58777777778";"29"
NA;" VI.0.111";NA;"02.3.68.5";"Zvyšení kvality vzdělávání a odborné přípravy včetně posílení jejich relevance pro trh práce";"OP VVV";"02";"1623863,44444444";"1380283,88000000";"243579,564444444";"0,000000000";"23437,2222222222";"19921,6344444444";"3515,58777777778";"23437,2222222222";"0,000000000000000000000000000";"3515,58777777778";"29"
NA;" VI.0.111";NA;NA;NA;"OP VVV";"02";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"952"
NA;" VI.0.112";NA;"03.2.60.1";"Zvýšit uplatnitelnost osob ohrožených sociálním vyloučením nebo sociálně vyloučených ve společnosti a na trhu práce ";"OP Z";"03";"1178748,75000000";"589374,37500000";"589374,375000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" VI.0.112";NA;"03.2.63.1";"Zvýšit kvalitu a udržitelnost systému sociálních služeb, služeb pro rodiny a děti a dalších navazujících služeb podporujících sociální začleňování ";"OP Z";"03";"1178748,75000000";"589374,37500000";"589374,375000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" VI.0.112";NA;NA;NA;"OP Z";"03";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"2"
NA;" VII.0.115";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"3102728,94444444";"2501942,24250000";"600786,701944444";"0,000000000";"36334,2222222222";"28627,1069444444";"7707,11527777778";"36334,2222222222";"0,000000000000000000000000000";"7707,11527777778";"41"
NA;" VII.0.115";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"1794614,44444444";"1525422,22500000";"269192,219444444";"0,000000000";"23437,2222222222";"19921,6344444444";"3515,58777777778";"23437,2222222222";"0,000000000000000000000000000";"3515,58777777778";"31"
NA;" VII.0.115";NA;"02.3.68.2";"Zlepšení kvality vzdělávání a výsledků žáků v klíčových kompetencích";"OP VVV";"02";"82370371,48000000";"54506341,50222223";"27864029,977777779";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"2"
NA;" VII.0.115";NA;"02.3.68.4";"Zkvalitnění přípravy budoucích a začínajících pedagogických pracovníků";"OP VVV";"02";"82370371,48000000";"54506341,50222223";"27864029,977777779";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"2"
NA;" VII.0.115";NA;"02.3.68.5";"Zvyšení kvality vzdělávání a odborné přípravy včetně posílení jejich relevance pro trh práce";"OP VVV";"02";"85643851,42444444";"57153422,08972222";"28490429,334722240";"0,000000000";"36334,2222222222";"28627,1069444444";"7707,11527777778";"36334,2222222222";"0,000000000000000000000000000";"7707,11527777778";"45"
NA;" VII.0.115";NA;NA;NA;"OP VVV";"02";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1569"
"Research and innovation processes in large enterprises";"I.0.002";"0,0";"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"9898073404,74971390";"3431398494,48203468";"0,000000000";"6466674910,267679214";"6892222550,9416446686";"2243529144,1230425835";"0,00000000000";"2243529144,1230425835";"4648693406,818602561950683593750000000";"4648693406,81860256195";"354"
"Research and innovation processes in large enterprises";"I.0.002";"0,0";NA;NA;"OP PIK";"01";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"13017486,80000000";"7810492,08000000";"0,000000000";"5206994,720000000";"10851076,5999999996";"6510645,9600000000";"0,00000000000";"6510645,9600000000";"4340430,639999999664723873138427734";"4340430,63999999966";"1"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.14.3.4";"Uplatnit inovativní nízkouhlíkové technologie v oblasti nakládání energií a při využívání druhotných surovin";"OP PIK";"01";"587435239,80999994";"224690189,72000000";"0,000000000";"362745050,089999974";"400423308,0199999809";"128335142,8499999940";"0,00000000000";"128335142,8499999940";"272088165,170000076293945312500000000";"272088165,17000007629";"71"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.15.3.5";"Zvýšit účinnost soustav zásobování teplem";"OP PIK";"01";"101805557,61000000";"33284197,24000000";"0,000000000";"68521360,370000005";"94061954,6099999994";"30961116,3399999999";"0,00000000000";"30961116,3399999999";"63100838,269999995827674865722656250";"63100838,26999999583";"2"
"Productive investment linked to the cooperation between large enterprises and SMEs for developing information and communication technology (‘ICT’) products and services, e-commerce and enhancing demand for ICT";"I.0.004";"0,0";"01.4.04.4.2";"Zvýšit využití potenciálu ICT sektoru pro konkurenceschopnost ekonomiky";"OP PIK";"01";"2644194805,25000000";"667367822,89000010";"0,000000000";"1976826982,360000134";"2019531872,4699997902";"506722517,7800000310";"0,00000000000";"506722517,7800000310";"1512809354,690000057220458984375000000";"1512809354,69000005722";"42"
"Electricity (storage and transmission)";"II.1.005";"0,0";"01.3.43.3.6";"Posílit energetickou bezpečnost přenosové soustavy";"OP PIK";"01";"11785423224,09999847";"4714169289,61999989";"0,000000000";"7071253934,479999542";"6713176927,1199998856";"2685270770,8099999428";"0,00000000000";"2685270770,8099999428";"4027906156,310000419616699218750000000";"4027906156,31000041962";"20"
"Renewable energy: wind";"II.1.009";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"201731968,51999998";"161385574,81000000";"0,000000000";"40346393,709999993";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"5"
"Renewable energy: solar";"II.1.010";"1,0";"01.3.10.3.2";"Zvýšit energetickou účinnost podnikatelského sektoru";"OP PIK";"01";"1854111525,55999947";"1341746167,94000006";"0,000000000";"512365357,620000303";"35292490,0399999991";"25500213,8600000031";"0,00000000000";"25500213,8600000031";"9792276,179999999701976776123046875";"9792276,17999999970";"227"
"Renewable energy: biomass";"II.1.011";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"844582997,18000007";"575492616,62000000";"0,000000000";"269090380,560000062";"615912166,5599999428";"409532011,5300000310";"0,00000000000";"409532011,5300000310";"206380155,029999971389770507812500000";"206380155,02999997139";"47"
"Other renewable energy (including hydroelectric, geothermal and marine energy) and renewable energy integration (including storage, power to gas and renewable hydrogen infrastructure)";"II.1.012";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"59211146,46999999";"44792200,12000000";"0,000000000";"14418946,350000003";"16340156,2699999996";"13072125,0099999998";"0,00000000000";"13072125,0099999998";"3268031,259999999310821294784545898";"3268031,25999999931";"19"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"04.2.40.2.2";"Vytvoření podmínek pro širší využití vozidel na alternativní pohon na silniční síti";"OP D";"04";"1728183143,32999992";"1016179835,07999980";"0,000000000";"712003308,250000119";"59460417,6000000015";"30854367,5900000036";"0,00000000000";"30854367,5900000036";"28606050,010000001639127731323242188";"28606050,01000000164";"33"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.11.5.2";"Dosáhnout vysokého energetického standardu nových veřejných budov";"OP ŽP";"05";"2625893114,12999964";"570284856,42999995";"2055608257,700000048";"0,000000000";"1157645443,5000002384";"262998649,7800000012";"894646793,72000002861";"1157645443,5000002384";"0,000000011175870895385742188";"894646793,72000002861";"26"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.11.5.3";"Snížit energetickou náročnost veřejných budov a zvýšit využití obnovitelných zdrojů energie v budovách ústředních vládních institucí";"OP ŽP";"05";"299805140,38999999";"187859075,36999997";"111946065,019999996";"0,000000000";"72191982,1800000072";"39891776,0800000057";"32300206,09999999776";"72191982,1800000072";"0,000000007217749953269958496";"32300206,10000000522";"33"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.18.5.1";"Snížit energetickou náročnost veřejných budov a zvýšit využití obnovitelných zdrojů energie";"OP ŽP";"05";"18185922764,22998428";"7904940953,32000446";"10119534903,560007095";"161446907,349999994";"11980162076,5199756622";"5167370163,9999990463";"6762812532,06999111176";"11930182696,0699768066";"49979380,449999965727329254150390625";"6812791912,51999473572";"2591"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"06.6.127.6.1";"REACT-EU";"IROP";"06";"80277453,89500000";"68235835,81000000";"11947321,835000001";"94296,250000000";"5782731,1749999998";"4915321,4950000001";"867409,68000000005";"5782731,1749999998";"0,000000000000000000000000000";"867409,67999999970";"4"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"07.2.11.2.1";"Energetické úspory v městských objektech dosažené také s využitím vhodných obnovitelných zdrojů energie, energeticky efektivních zařízení a inteligentních systémů řízení";"OP PPR";"07";"1793407125,88000011";"896703562,89999986";"660463502,370000005";"236240060,609999985";"1014581202,1099998951";"507290600,9200000167";"366695683,75999999046";"873986284,6800000668";"140594917,429999947547912597656250000";"507290601,18999999762";"26"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";NA;NA;"IROP";"06";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"9"
"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures";"II.1.014";"1,0";"06.2.11.2.5";"Snížení energetické náročnosti v sektoru bydlení";"IROP";"06";"23077293691,21994781";"7645305950,27999401";"3084783334,679999352";"12347204406,259988785";"14458872615,9899826050";"4767760136,5799875259";"1744630658,41999983788";"6512390794,9999923706";"7946481820,989983558654785156250000000";"9691112479,40999794006";"3187"
"Intelligent Energy Distribution Systems at medium and low voltage levels (including smart grids and ICT systems)";"II.1.015";"1,0";"01.3.12.3.3";"Zvýšit aplikaci prvků inteligentních sítí v distribučních soustavách";"OP PIK";"01";"545110346,98000002";"218044138,75999999";"0,000000000";"327066208,219999969";"48425187,3799999952";"19370074,9400000013";"0,00000000000";"19370074,9400000013";"29055112,440000005066394805908203125";"29055112,44000000507";"19"
"High efficiency co-generation and district heating";"II.1.016";"1,0";"01.3.15.3.5";"Zvýšit účinnost soustav zásobování teplem";"OP PIK";"01";"7388997027,58000278";"2830256231,65999889";"29969062,500000000";"4528771733,420001984";"4356156520,8700008392";"1631975721,1699995995";"0,00000000000";"1631975721,1699995995";"2724180799,700000762939453125000000000";"2724180799,70000076294";"169"
"Household waste management (including minimisation, sorting, recycling measures)";"II.2.017";"0,0";"05.3.29.3.1";"Prevence vzniku odpadů";"OP ŽP";"05";"2030522725,89999866";"1733960297,37000036";"270421556,499999881";"26140872,030000001";"1635829360,5499987602";"1400937094,7800006866";"221761592,89999997616";"1622698687,6799988747";"13130672,869999997317790985107421875";"234892265,76999992132";"925"
"Household waste management (including minimisation, sorting, recycling measures)";"II.2.017";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"6097932143,64817715";"4558734450,77099514";"601734339,897176504";"937463352,980000257";"4114124946,2898988724";"3252254911,7722244263";"404919267,40767437220";"3657174179,1798982620";"456950767,110000193119049072265625000";"861870034,51767504215";"1712"
"Household waste management (including mechanical biological treatment, thermal treatment, incineration and landfill measures)";"II.2.018";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"2616407101,98000002";"1712376602,99000049";"284606424,019999921";"619424074,969999790";"1091358233,2500000000";"713912951,4500001669";"165759935,21000000834";"879672886,6600002050";"211685346,590000063180923461914062500";"377445281,80000013113";"168"
"Household waste management (including mechanical biological treatment, thermal treatment, incineration and landfill measures)";"II.2.018";"0,0";"05.3.29.3.3";"Rekultivovat staré skládky";"OP ŽP";"05";"334348086,06000006";"284195873,06000000";"49256483,709999993";"895729,290000000";"313106576,5500000119";"265742265,2799999714";"46468581,97999999672";"312210847,2599999905";"895729,290000008419156074523925781";"47364311,27000001073";"19"
"Commercial, industrial or hazardous waste management";"II.2.019";"0,0";"05.3.29.3.1";"Prevence vzniku odpadů";"OP ŽP";"05";"67185150,00000000";"54699791,89000000";"1310641,260000000";"11174716,850000000";"20341269,9100000001";"15677152,0399999991";"1310641,20999999996";"16987793,2500000000";"3353476,659999999683350324630737305";"4664117,86999999918";"20"
"Commercial, industrial or hazardous waste management";"II.2.019";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"974087076,81182349";"553128824,46899998";"163589891,292823523";"257368361,050000042";"450304958,2101017833";"300933515,7877761722";"3734656,98232566146";"304668172,7701019049";"145636785,440000057220458984375000000";"149371442,42232573032";"104"
"Provision of water for human consumption (extraction, treatment, storage and distribution infrastructure)";"II.2.020";"0,0";"05.1.30.1.2";"Zajistit dodávky pitné vody v odpovídající jakosti a množství";"OP ŽP";"05";"4172522259,45000076";"3546643919,92999935";"624487089,920000076";"1391249,600000000";"4016436469,1000008583";"3413543017,2999992371";"601503889,69000005722";"4015046906,9900002480";"1389562,110000082757323980331420898";"602893451,80000019073";"144"
"Water management and drinking water conservation (including river basin management, water supply, specific climate change adaptation measures, district and consumer metering, charging systems and leak reduction)";"II.2.021";"0,4";"05.1.24.1.3";"Zajistit povodňovou ochranu v intravilánu";"OP ŽP";"05";"99278873,89999999";"83345029,39999998";"14622301,250000000";"1311543,250000000";"68660581,2500000000";"57370469,2199999988";"10211399,37999999896";"67581868,6000000089";"1078712,649999999441206455230712891";"11290112,03000000305";"34"
"Water management and drinking water conservation (including river basin management, water supply, specific climate change adaptation measures, district and consumer metering, charging systems and leak reduction)";"II.2.021";"0,4";"05.1.30.1.1";"Snížit množství vypouštěného znečištění do povrchových i podzemních vod z komunálních zdrojů a vnos znečišťujících látek do povrchových a podzemních vod";"OP ŽP";"05";"42024760,82000001";"35721046,68000000";"6303714,140000001";"0,000000000";"41840950,7100000009";"35564808,0300000012";"6276142,67999999970";"41840950,7100000009";"0,000000000000000000000000000";"6276142,67999999970";"3"
"Waste water treatment";"II.2.022";"0,0";"05.1.30.1.1";"Snížit množství vypouštěného znečištění do povrchových i podzemních vod z komunálních zdrojů a vnos znečišťujících látek do povrchových a podzemních vod";"OP ŽP";"05";"13529825321,61000443";"11500351521,60001564";"2013046852,599999666";"16426947,410000000";"12796055491,2200031281";"10874692739,6599979401";"1907348318,16000151634";"12782041057,8200035095";"14014433,400000004097819328308105469";"1921362751,56000137329";"417"
"Railways (TEN-T Core)";"II.3.024";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"13770263788,15999985";"11704724219,89500046";"2065539568,264999866";"0,000000000";"10496935770,2729988098";"8922395404,1129989624";"1574540366,15999984741";"10496935770,2729988098";"-0,000000037252902984619140625";"1574540366,15999984741";"27"
"Railways (TEN-T comprehensive)";"II.3.025";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"25205552941,11367798";"21424719999,88499832";"3780832941,228676319";"0,000000000";"18413182638,2325592041";"15651205241,5021209717";"2761977396,73043823242";"18413182638,2325592041";"0,000000044703483581542968750";"2761977396,73043918610";"34"
"Other Railways";"II.3.026";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"22681041950,98632431";"19278885658,24999619";"3402156292,736324310";"0,000000000";"19094178463,2344436646";"16230051692,6348800659";"2864126770,59956121445";"19094178463,2344436646";"0,000000342726707458496093750";"2864126770,59956121445";"39"
"Mobile rail assets";"II.3.027";"0,4";"04.1.40.1.5";"Vytvoření podmínek pro širší využití železniční a vodní dopravy prostřednictvím modernizace dopravního parku";"OP D";"04";"4629087971,96000099";"3588631275,25000000";"76143739,810000002";"964312956,899999976";"1008227018,1299999952";"807600487,3000000715";"5234657,40000000037";"812835144,7000000477";"195391873,430000007152557373046875000";"200626530,83000001311";"30"
"TEN-T motorways and roads — core network (new build)";"II.3.028";"0,0";"04.2.39.2.1";"Zlepšení propojení center a regionů a zvýšení bezpečnosti a efektivnosti silniční dopravy prostřednictvím výstavby, obnovy a modernizace dálnic, rychlostních silnic a silnic sítě TEN-T včetně rozvoje systémů ITS";"OP D";"04";"3195446249,09999990";"2716129311,73000002";"479316937,370000005";"0,000000000";"2808811525,5000000000";"2387489796,5599999428";"421321728,94000005722";"2808811525,5000000000";"0,000000238418579101562500000";"421321728,94000017643";"2"
"TEN-T motorways and roads — comprehensive network (new build)";"II.3.029";"0,0";"04.2.39.2.1";"Zlepšení propojení center a regionů a zvýšení bezpečnosti a efektivnosti silniční dopravy prostřednictvím výstavby, obnovy a modernizace dálnic, rychlostních silnic a silnic sítě TEN-T včetně rozvoje systémů ITS";"OP D";"04";"22243156197,81000137";"18906682768,13000107";"3336473429,680000305";"0,000000000";"14546329131,6100006104";"12364379761,1199989319";"2181949370,49000024796";"14546329131,6100006104";"-0,000000238418579101562500000";"2181949370,48999977112";"12"
"Secondary road links to TEN-T road network and nodes (new build)";"II.3.030";"0,0";"06.1.42.1.1";"Zvýšení regionální mobility prostřednictvím modernizace a rozvoje sítí regionální silniční infrastruktury navazující na síť TEN-T";"IROP";"06";"3081739457,46999979";"2566039640,06999874";"515699817,400000036";"0,000000000";"1431580285,1299998760";"1174401681,3699998856";"257178603,76000002027";"1431580285,1299998760";"-0,000000005587935447692871094";"257178603,76000002027";"33"
"Secondary road links to TEN-T road network and nodes (new build)";"II.3.030";"0,0";NA;NA;"IROP";"06";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
"Other national and regional roads (new build)";"II.3.031";"0,0";"04.3.42.3.1";"Zlepšení dostupnosti regionů, zvýšení bezpečnosti a plynulosti a snížení dopadů dopravy na veřejné zdraví prostřednictvím výstavby, obnovy a zlepšení parametrů dálnic, rychlostních silnic a silnic I. třídy mimo síť TEN-T";"OP D";"04";"28764473338,50000000";"24449802337,72000504";"4314671000,780000687";"0,000000000";"14781307448,1600017548";"12564111329,5800018311";"2217196118,58000040054";"14781307448,1599998474";"-0,000000083819031715393066406";"2217196118,57999992371";"43"
"Other national and regional roads (new build)";"II.3.031";"0,0";"06.1.42.1.1";"Zvýšení regionální mobility prostřednictvím modernizace a rozvoje sítí regionální silniční infrastruktury navazující na síť TEN-T";"IROP";"06";"4976858420,91000080";"4179890785,38500023";"796967635,524999976";"0,000000000";"2931456692,3550000191";"2491738188,3949999809";"439718503,96000003815";"2931456692,3550000191";"-0,000000014901161193847656250";"439718503,95999997854";"17"
"TEN-T reconstructed or improved road";"II.3.033";"0,0";"04.2.39.2.1";"Zlepšení propojení center a regionů a zvýšení bezpečnosti a efektivnosti silniční dopravy prostřednictvím výstavby, obnovy a modernizace dálnic, rychlostních silnic a silnic sítě TEN-T včetně rozvoje systémů ITS";"OP D";"04";"16208200121,00000000";"13776970102,84999847";"2431230018,149999619";"0,000000000";"13213845405,0000000000";"11231768593,7399997711";"1982076811,26000022888";"13213845405,0000000000";"0,000000178813934326171875000";"1982076811,25999999046";"15"
"Other reconstructed or improved road (motorway, national, regional or local)";"II.3.034";"0,0";"04.3.42.3.1";"Zlepšení dostupnosti regionů, zvýšení bezpečnosti a plynulosti a snížení dopadů dopravy na veřejné zdraví prostřednictvím výstavby, obnovy a zlepšení parametrů dálnic, rychlostních silnic a silnic I. třídy mimo síť TEN-T";"OP D";"04";"700459605,00000000";"595390664,25000000";"105068940,750000000";"0,000000000";"523308372,1999999881";"444812116,3399999738";"78496255,85999999940";"523308372,1999999881";"0,000000000000000000000000000";"78496255,85999999940";"3"
"Other reconstructed or improved road (motorway, national, regional or local)";"II.3.034";"0,0";"06.1.42.1.1";"Zvýšení regionální mobility prostřednictvím modernizace a rozvoje sítí regionální silniční infrastruktury navazující na síť TEN-T";"IROP";"06";"30028676345,44999695";"24756924390,04499435";"5271751955,404994965";"0,000000000";"18044393131,3050041199";"15116292941,0150089264";"2928100190,29000091553";"18044393131,3050041199";"0,000000138767063617706298828";"2928100190,29000139236";"436"
"Other reconstructed or improved road (motorway, national, regional or local)";"II.3.034";"0,0";NA;NA;"IROP";"06";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"4"
"Multimodal transport (TEN-T)";"II.3.035";"0,4";"04.1.40.1.3";"Vytvoření podmínek pro větší využití multimodální dopravy";"OP D";"04";"12500000,00000000";"6125000,00000000";"0,000000000";"6375000,000000000";"11935125,0000000000";"5848211,2500000000";"0,00000000000";"5848211,2500000000";"6086913,750000000000000000000000000";"6086913,75000000000";"1"
"Multimodal transport (TEN-T)";"II.3.035";"0,4";"04.1.40.1.5";"Vytvoření podmínek pro širší využití železniční a vodní dopravy prostřednictvím modernizace dopravního parku";"OP D";"04";"76472852,47999999";"52068113,54000000";"0,000000000";"24404738,939999998";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"14"
"Multimodal transport";"II.3.036";"0,4";"04.1.40.1.3";"Vytvoření podmínek pro větší využití multimodální dopravy";"OP D";"04";"1452708980,56999993";"693032583,62999988";"0,000000000";"759676396,940000057";"264663034,1800000072";"114440333,9000000060";"0,00000000000";"114440333,9000000060";"150222700,280000001192092895507812500";"150222700,28000000119";"16"
"Clean urban transport infrastructure and promotion (including equipment and rolling stock)";"II.4.043";"0,4";"04.1.40.1.4";"Vytvoření podmínek pro zvýšení využívání veřejné hromadné dopravy ve městech v elektrické trakci";"OP D";"04";"8079005118,32000160";"6867154350,51000118";"526681922,149999976";"685168845,659999847";"3114466343,4599995613";"2647296391,5700001717";"200531959,62999999523";"2847828351,1999993324";"266637992,260000079870223999023437500";"467169951,88999998569";"39"
