"oblast_intervence_nazev_en";"oblast_intervence_kod";"climate_share";"sc_id";"sc_nazev";"op_zkr";"op_id";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_czv";"fin_vyuct_eu";"fin_vyuct_narodni_verejne";"fin_vyuct_soukr";"fin_vyuct_verejne";"fin_vyuct_narodni";"n_prj"
NA;" VI.0.111";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.111";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.111";NA;"02.3.68.5";"Zvyšení kvality vzdělávání a odborné přípravy včetně posílení jejich relevance pro trh práce";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.112";NA;"03.2.60.1";"Zvýšit uplatnitelnost osob ohrožených sociálním vyloučením nebo sociálně vyloučených ve společnosti a na trhu práce ";"OP Z";"03";"2943929,220000000";"1471964,610000000";"1471964,6099999999";"0,000000000";"1514152,2900000000";"757076,1399999999";"757076,1500000000";"0,00000000011641532182693481";"1514152,2900000000";"757076,1500000001";"3"
NA;" VI.0.112";NA;"03.2.63.1";"Zvýšit kvalitu a udržitelnost systému sociálních služeb, služeb pro rodiny a děti a dalších navazujících služeb podporujících sociální začleňování ";"OP Z";"03";"2943929,220000000";"1471964,610000000";"1471964,6099999999";"0,000000000";"1514152,2900000000";"757076,1399999999";"757076,1500000000";"0,00000000011641532182693481";"1514152,2900000000";"757076,1500000001";"3"
NA;" VII.0.115";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"132580724,944444433";"106317515,163610995";"26263209,7808333486";"0,000000000";"38266882,4444444701";"30520449,8408333287";"7746432,6036111172";"0,00000000001859411390291320";"38266882,4444444701";"7746432,6036111172";"1547"
NA;" VII.0.115";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"65937646,694444448";"54169664,183611155";"11767982,5108333305";"0,000000000";"14872697,1944444515";"12202142,0108333435";"2670555,1836111103";"0,00000000001131815628872977";"14872697,1944444515";"2670555,1836111099";"1045"
NA;" VII.0.115";NA;"02.3.68.2";"Zlepšení kvality vzdělávání a výsledků žáků v klíčových kompetencích";"OP VVV";"02";"82370371,479999989";"54506341,502222225";"27864029,9777777791";"0,000000000";"29414809,5044444427";"20089277,9666666649";"9325531,5377777778";"0,00000000000000000000000000";"29414809,5044444427";"9325531,5377777778";"2"
NA;" VII.0.115";NA;"02.3.68.4";"Zkvalitnění přípravy budoucích a začínajících pedagogických pracovníků";"OP VVV";"02";"82370371,479999989";"54506341,502222225";"27864029,9777777791";"0,000000000";"29414809,5044444427";"20089277,9666666649";"9325531,5377777778";"0,00000000000000000000000000";"29414809,5044444427";"9325531,5377777778";"2"
NA;" VII.0.115";NA;"02.3.68.5";"Zvyšení kvality vzdělávání a odborné přípravy včetně posílení jejich relevance pro trh práce";"OP VVV";"02";"220076404,674444407";"165055843,438334316";"55020561,2361111641";"0,000000000";"68357355,6988888532";"51145429,5650000870";"17211926,1338888444";"0,00000000001859411390291320";"68357355,6988888532";"17211926,1338888444";"1613"
NA;" VII.0.115";NA;NA;NA;"OP VVV";"02";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"2"
"Research and innovation processes in large enterprises";"I.0.002";"0,0";"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"10104710721,045471191";"3535362324,919211864";"18010469,2002979107";"6551337926,925960541";"7689912522,3681735992";"2606963066,7792706490";"1673610,4910382025";"5081275845,09786796569824218750000000";"2608636677,2703084946";"5082949455,5889072418";"375"
"Research and innovation processes in large enterprises";"I.0.002";"0,0";NA;NA;"OP PIK";"01";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"5"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"13017486,800000001";"7810492,080000000";"0,0000000000";"5206994,720000000";"10851076,5999999996";"6510645,9600000000";"0,0000000000";"4340430,63999999966472387313842773";"6510645,9600000000";"4340430,6399999997";"1"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.14.3.4";"Uplatnit inovativní nízkouhlíkové technologie v oblasti nakládání energií a při využívání druhotných surovin";"OP PIK";"01";"614823523,960000157";"241389504,219999999";"0,0000000000";"373434019,739999890";"473745616,0799999237";"169726408,3800000548";"0,0000000000";"304019207,70000010728836059570312500";"169726408,3800000548";"304019207,7000001073";"72"
"Productive investment in large enterprises linked to the low-carbon economy";"I.0.003";"0,4";"01.3.15.3.5";"Zvýšit účinnost soustav zásobování teplem";"OP PIK";"01";"101805557,609999999";"33284197,239999998";"0,0000000000";"68521360,370000005";"94061954,6099999994";"30961116,3399999999";"0,0000000000";"63100838,26999999582767486572265625";"30961116,3399999999";"63100838,2699999958";"2"
"Productive investment linked to the cooperation between large enterprises and SMEs for developing information and communication technology (‘ICT’) products and services, e-commerce and enhancing demand for ICT";"I.0.004";"0,0";"01.4.04.4.2";"Zvýšit využití potenciálu ICT sektoru pro konkurenceschopnost ekonomiky";"OP PIK";"01";"2588056490,250000000";"653333244,139999986";"0,0000000000";"1934723246,110000134";"2168968279,5399999619";"548008457,3400000334";"0,0000000000";"1620959822,20000028610229492187500000";"548008457,3400000334";"1620959822,2000002861";"42"
"Electricity (storage and transmission)";"II.1.005";"0,0";"01.3.43.3.6";"Posílit energetickou bezpečnost přenosové soustavy";"OP PIK";"01";"11785423224,100000381";"4714169289,619999886";"0,0000000000";"7071253934,479999542";"9426443762,6000022888";"3770577504,9599990845";"0,0000000000";"5655866257,63999938964843750000000000";"3770577504,9599990845";"5655866257,6399993896";"20"
"Renewable energy: wind";"II.1.009";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"201731968,519999981";"161385574,810000002";"0,0000000000";"40346393,710000001";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"5"
"Renewable energy: solar";"II.1.010";"1,0";"01.3.10.3.2";"Zvýšit energetickou účinnost podnikatelského sektoru";"OP PIK";"01";"2094021227,220000267";"1525660971,190000296";"0,0000000000";"568360256,030000329";"528597782,6800000668";"381382447,0800001025";"0,0000000000";"147215335,60000002384185791015625000";"381382447,0800001025";"147215335,6000000238";"266"
"Renewable energy: biomass";"II.1.011";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"811809695,599999905";"549428080,949999928";"0,0000000000";"262381614,650000036";"734683320,6299999952";"496482527,9000000358";"0,0000000000";"238200792,73000001907348632812500000";"496482527,9000000358";"238200792,7300000191";"48"
"Other renewable energy (including hydroelectric, geothermal and marine energy) and renewable energy integration (including storage, power to gas and renewable hydrogen infrastructure)";"II.1.012";"1,0";"01.3.09.3.1";"Zvýšit podíl výroby energie z obnovitelných zdrojů na hrubé konečné spotřebě ČR";"OP PIK";"01";"36478610,070000000";"29182888,039999995";"0,0000000000";"7295722,029999999";"19617104,7100000009";"15693683,7500000000";"0,0000000000";"3923420,95999999949708580970764160";"15693683,7500000000";"3923420,9599999995";"20"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"04.2.40.2.2";"Vytvoření podmínek pro širší využití vozidel na alternativní pohon na silniční síti";"OP D";"04";"1100237365,389999866";"658162101,759999871";"0,0000000000";"442075263,630000055";"298283898,2099999785";"164793040,6800000072";"0,0000000000";"133490857,53000000119209289550781250";"164793040,6800000072";"133490857,5300000012";"33"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.11.5.2";"Dosáhnout vysokého energetického standardu nových veřejných budov";"OP ŽP";"05";"2405758861,229999542";"602017309,159999967";"1803741552,0699996948";"0,000000000";"1690616624,3199999332";"370207197,8199999928";"1320409426,5000002384";"0,00000005587935447692871094";"1690616624,3199999332";"1320409426,5000002384";"29"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.11.5.3";"Snížit energetickou náročnost veřejných budov a zvýšit využití obnovitelných zdrojů energie v budovách ústředních vládních institucí";"OP ŽP";"05";"663178778,730000019";"469390499,329999983";"193788279,4000000656";"0,000000000";"278325838,1299999952";"167848757,8299999833";"110477080,2999999970";"0,00000000675208866596221924";"278325838,1299999952";"110477080,2999999970";"56"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"05.5.18.5.1";"Snížit energetickou náročnost veřejných budov a zvýšit využití obnovitelných zdrojů energie";"OP ŽP";"05";"20129347721,999980927";"8835474279,389993668";"11055154958,9400024414";"238718483,670000046";"14322041514,1599712372";"6245989688,2000017166";"8010048021,5300083160";"66003804,42999994754791259765625000";"14256037709,7299709320";"8076051825,9600086212";"2731"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"06.6.127.6.1";"REACT-EU";"IROP";"06";"317455134,704999983";"269836864,455000043";"34643468,9899999946";"12974801,259999998";"75381524,6400000006";"64074295,9149999991";"8314497,6150000002";"2992731,10999999660998582839965820";"72388793,5300000161";"11307228,7249999996";"25"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";"07.2.11.2.1";"Energetické úspory v městských objektech dosažené také s využitím vhodných obnovitelných zdrojů energie, energeticky efektivních zařízení a inteligentních systémů řízení";"OP PPR";"07";"2003393167,330000162";"1001696583,620000005";"733958616,8700000048";"267737966,839999944";"1533539257,8900001049";"766769628,7599999905";"556012414,6000001431";"210757214,53000006079673767089843750";"1322782043,3600001335";"766769629,1300001144";"29"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";NA;NA;"IROP";"06";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"35"
"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures";"II.1.013";"1,0";NA;NA;"OP ŽP";"05";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"1"
"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures";"II.1.014";"1,0";"06.2.11.2.5";"Snížení energetické náročnosti v sektoru bydlení";"IROP";"06";"23291626294,500003815";"7705380403,709999084";"3037948820,3800010681";"12548297070,410030365";"18740727821,6499786377";"6183717429,1400022507";"2228962555,1800012589";"10328047837,33000373840332031250000000";"8412679984,3199977875";"12557010392,5100097656";"3229"
"Intelligent Energy Distribution Systems at medium and low voltage levels (including smart grids and ICT systems)";"II.1.015";"1,0";"01.3.12.3.3";"Zvýšit aplikaci prvků inteligentních sítí v distribučních soustavách";"OP PIK";"01";"521382676,019999981";"208553070,379999965";"0,0000000000";"312829605,639999986";"201640970,1700000167";"80656388,0299999863";"0,0000000000";"120984582,14000003039836883544921875";"80656388,0299999863";"120984582,1400000304";"21"
"High efficiency co-generation and district heating";"II.1.016";"1,0";"01.3.15.3.5";"Zvýšit účinnost soustav zásobování teplem";"OP PIK";"01";"7755704177,680001259";"2991202572,439999104";"29969062,5000000000";"4734532542,740000725";"5602907000,5200004578";"2143832571,1599991322";"0,0000000000";"3459074429,35999965667724609375000000";"2143832571,1599991322";"3459074429,3599996567";"178"
"High efficiency co-generation and district heating";"II.1.016";"1,0";NA;NA;"OP PIK";"01";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"6"
"Household waste management (including minimisation, sorting, recycling measures)";"II.2.017";"0,0";"05.3.29.3.1";"Prevence vzniku odpadů";"OP ŽP";"05";"2023225078,869999409";"1728596028,939999819";"268528054,8399997950";"26100995,090000000";"1958249805,8399994373";"1677103663,4199986458";"263434189,3199997842";"17711953,09999999776482582092285156";"1940537852,7399997711";"281146142,4199997783";"927"
"Household waste management (including minimisation, sorting, recycling measures)";"II.2.017";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"5724689902,888183594";"4376979392,880999565";"535427987,1071771383";"812282522,899999857";"5008564625,7699012756";"3985788183,7522234917";"489263395,1676748395";"533513046,85000014305114746093750000";"4475051578,9199037552";"1022776442,0176752806";"1716"
"Household waste management (including mechanical biological treatment, thermal treatment, incineration and landfill measures)";"II.2.018";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"2463731458,869999409";"1674204692,149999857";"170102691,7500000298";"619424074,970000029";"1939977115,1899998188";"1283756521,5099999905";"167860105,9500000179";"488360487,73000001907348632812500000";"1451616627,4599997997";"656220593,6799998283";"168"
"Household waste management (including mechanical biological treatment, thermal treatment, incineration and landfill measures)";"II.2.018";"0,0";"05.3.29.3.3";"Rekultivovat staré skládky";"OP ŽP";"05";"334204933,569999993";"284074193,439999998";"49235010,8400000036";"895729,290000000";"323673245,3599999547";"274549407,3499999642";"48228108,7200000063";"895729,29000001214444637298583984";"322777516,0699999332";"49123838,0100000128";"19"
"Commercial, industrial or hazardous waste management";"II.2.019";"0,0";"05.3.29.3.1";"Prevence vzniku odpadů";"OP ŽP";"05";"85842316,000000015";"73358408,990000010";"1310641,2600000000";"11173265,750000002";"59229381,5900000036";"53005237,3200000077";"1310641,2100000000";"4913503,05999999959021806716918945";"54315878,5300000012";"6224144,2699999996";"21"
"Commercial, industrial or hazardous waste management";"II.2.019";"0,0";"05.3.29.3.2";"Zvýšit podíl materiálového a energetického využití odpadů";"OP ŽP";"05";"901589865,251823425";"508814027,438999951";"137220240,0728235245";"255555597,740000039";"577810246,6401017904";"387337182,7377761006";"12572754,8423256613";"177900309,06000000238418579101562500";"399909937,5801017284";"190473063,9023256600";"105"
"Commercial, industrial or hazardous waste management";"II.2.019";"0,0";NA;NA;"OP ŽP";"05";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"1"
"Provision of water for human consumption (extraction, treatment, storage and distribution infrastructure)";"II.2.020";"0,0";"05.1.30.1.2";"Zajistit dodávky pitné vody v odpovídající jakosti a množství";"OP ŽP";"05";"4172522259,450000763";"3546643919,930000782";"624487089,9200000763";"1391249,600000000";"4122336453,7199978828";"3503416405,3800001144";"617530486,2299996614";"1389562,11000011349096894264221191";"4120946891,6099977493";"618920048,3399997950";"144"
"Water management and drinking water conservation (including river basin management, water supply, specific climate change adaptation measures, district and consumer metering, charging systems and leak reduction)";"II.2.021";"0,4";"05.1.24.1.3";"Zajistit povodňovou ochranu v intravilánu";"OP ŽP";"05";"91236829,860000029";"76509291,969999999";"13415994,6400000006";"1311543,250000000";"90454442,9500000030";"75895251,6299999952";"13248555,5899999999";"1310635,72999999695457518100738525";"89143807,2199999839";"14559191,3199999966";"34"
"Water management and drinking water conservation (including river basin management, water supply, specific climate change adaptation measures, district and consumer metering, charging systems and leak reduction)";"II.2.021";"0,4";"05.1.30.1.1";"Snížit množství vypouštěného znečištění do povrchových i podzemních vod z komunálních zdrojů a vnos znečišťujících látek do povrchových a podzemních vod";"OP ŽP";"05";"42024760,820000008";"35721046,680000000";"6303714,1400000006";"0,000000000";"41840950,7100000009";"35564808,0300000012";"6276142,6799999997";"0,00000000000000000000000000";"41840950,7100000009";"6276142,6799999997";"3"
"Waste water treatment";"II.2.022";"0,0";"05.1.30.1.1";"Snížit množství vypouštěného znečištění do povrchových i podzemních vod z komunálních zdrojů a vnos znečišťujících látek do povrchových a podzemních vod";"OP ŽP";"05";"13509425450,669990540";"11483011631,300006866";"2010857104,0400011539";"15556715,330000000";"13184963358,6399898529";"11204193414,5499973297";"1965370076,9799997807";"15399867,11000007577240467071533203";"13169563491,5299892426";"1980769944,0900011063";"417"
"Railways (TEN-T Core)";"II.3.024";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"13370881828,159997940";"11365249553,894998550";"2005632274,2649998665";"0,000000000";"11410811931,1370010376";"9699190140,8170013428";"1711621790,3199994564";"0,00000020116567611694335938";"11410811931,1370010376";"1711621790,3199996948";"27"
"Railways (TEN-T comprehensive)";"II.3.025";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"25157858859,923675537";"21384180030,884998322";"3773678829,0386772156";"0,000000000";"20274986660,3027763367";"17233738660,1358032227";"3041248000,1669688225";"0,00000022351741790771484375";"20274986660,3027725220";"3041248000,1669683456";"34"
"Other Railways";"II.3.026";"0,4";"04.1.41.1.1";"Zlepšení infrastruktury pro vyšší konkurenceschopnost a větší využití železniční dopravy";"OP D";"04";"20891004972,446319580";"17757354226,489997864";"3133650745,9563241005";"0,000000000";"19424312029,5402259827";"16510665223,9471912384";"2913646805,5930304527";"0,00000013411045074462890625";"19424312029,5402336121";"2913646805,5930304527";"39"
"Mobile rail assets";"II.3.027";"0,4";"04.1.40.1.5";"Vytvoření podmínek pro širší využití železniční a vodní dopravy prostřednictvím modernizace dopravního parku";"OP D";"04";"4678696188,449999809";"3669889860,589999676";"76143739,8100000024";"932662588,049999952";"2979857140,6300001144";"2275021985,9000000954";"14414589,1900000013";"690420565,53999996185302734375000000";"2289436575,0900001526";"704835154,7300000191";"31"
"TEN-T motorways and roads — core network (new build)";"II.3.028";"0,0";"04.2.39.2.1";"Zlepšení propojení center a regionů a zvýšení bezpečnosti a efektivnosti silniční dopravy prostřednictvím výstavby, obnovy a modernizace dálnic, rychlostních silnic a silnic sítě TEN-T včetně rozvoje systémů ITS";"OP D";"04";"3195446249,099999905";"2716129311,730000019";"479316937,3700000048";"0,000000000";"2914929798,3499999046";"2477690328,4800000191";"437239469,8700000048";"0,00000000000000000000000000";"2914929798,3499999046";"437239469,8699998856";"2"
"TEN-T motorways and roads — comprehensive network (new build)";"II.3.029";"0,0";"04.2.39.2.1";"Zlepšení propojení center a regionů a zvýšení bezpečnosti a efektivnosti silniční dopravy prostřednictvím výstavby, obnovy a modernizace dálnic, rychlostních silnic a silnic sítě TEN-T včetně rozvoje systémů ITS";"OP D";"04";"21386298109,409999847";"18178353392,990001678";"3207944716,4199995995";"0,000000000";"18597462971,9600028992";"15807843525,3500022888";"2789619446,6099996567";"0,00000011920928955078125000";"18597462971,9600028992";"2789619446,6100001335";"13"
"Secondary road links to TEN-T road network and nodes (new build)";"II.3.030";"0,0";"06.1.42.1.1";"Zvýšení regionální mobility prostřednictvím modernizace a rozvoje sítí regionální silniční infrastruktury navazující na síť TEN-T";"IROP";"06";"3377101549,269999981";"2817097418,099999428";"560004131,1700000763";"0,000000000";"2542225941,9199995995";"2114653083,1399998665";"427572858,7800000310";"-0,00000009499490261077880859";"2542225941,9199995995";"427572858,7799999714";"35"
"Other national and regional roads (new build)";"II.3.031";"0,0";"04.3.42.3.1";"Zlepšení dostupnosti regionů, zvýšení bezpečnosti a plynulosti a snížení dopadů dopravy na veřejné zdraví prostřednictvím výstavby, obnovy a zlepšení parametrů dálnic, rychlostních silnic a silnic I. třídy mimo síť TEN-T";"OP D";"04";"32073862022,560001373";"27262782719,170009613";"4811079303,3900012970";"0,000000000";"22349487710,6900024414";"18997064552,4000015259";"3352423158,2899990082";"-0,00000007450580596923828125";"22349487710,6900024414";"3352423158,2900004387";"48"
"Other national and regional roads (new build)";"II.3.031";"0,0";"06.1.42.1.1";"Zvýšení regionální mobility prostřednictvím modernizace a rozvoje sítí regionální silniční infrastruktury navazující na síť TEN-T";"IROP";"06";"4977545381,720000267";"4180474702,070000172";"797070679,6499999762";"0,000000000";"3107445745,5650005341";"2615163782,4899997711";"492281963,0749998689";"-0,00000001676380634307861328";"3107445745,5650005341";"492281963,0749998093";"17"
